Site,ID number,Species,Number of scars,Length,Proximal width,Medial width,Distal width,Thickness at medial,Platform width,Platform thickness
JQ-1,5,Sapiens,4,47.92,27.95,39.34,27.78,8.44,32.51,10.36
JQ-1,115,Sapiens,8,41.26,41.54,35.68,24.63,9.15,40.12,9.41
JQ-1,3,Sapiens,11,65.29,26.65,44.33,25.9,10.8,18.09,5.32
JQ-1,7,Sapiens,5,54.51,20.62,32.06,29.51,9.06,18.78,8.01
JQ-1,67,Sapiens,11,42.6,26.59,35.44,26.54,7.91,28.26,6.58
JQ-1,807,Sapiens,8,40.33,19.26,37.13,27.79,6.74,19.19,2.02
JQ-1,91,Sapiens,7,39.53,39.36,46.29,49.81,9.82,37.5,7.63
JQ-1,121,Sapiens,5,30.71,29.44,23.69,17.01,10.61,27.35,11.17
JQ-1,18,Sapiens,4,33.25,27.57,33.63,33.2,9.59,25.35,11.3
JQ-1,83,Sapiens,5,33.46,34.33,39.4,26.5,12.26,30.99,9.55
ANW-3,1,Sapiens,7,48.22,24.56,48.22,24.13,9.26,20.48,6.98
ANW-3,2,Sapiens,8,45.69,25.77,45.69,6.32,6.17,25.69,7.54
ANW-3,3,Sapiens,8,44.15,41.89,44.15,20.59,12.74,39.68,13.11
ANW-3,4,Sapiens,7,51.55,48.08,51.55,32.03,11.17,47.61,11.54
ANW-3,5,Sapiens,8,59.69,34.62,59.69,27.49,13.7,31.32,13.29
ANW-3,6,Sapiens,8,46.1,42,46.1,30.58,7.85,38.65,7.55
ANW-3,7,Sapiens,7,45.6,26.58,45.6,12.5,7.88,23.28,8.5
ANW-3,8,Sapiens,7,41.73,38.72,41.73,17.4,10.15,38.18,12.64
ANW-3,9,Sapiens,8,31.54,26.83,31.54,32.34,9.71,25.4,9.73
ANW-3,10,Sapiens,5,33.7,26.94,33.7,17.44,7.86,22.08,7.31
ANW-3,11,Sapiens,12,75.06,60.34,75.06,40.33,17.76,59.99,20.18
ANW-3,35,Sapiens,9,46.1,29,46.1,32.34,6.76,28.81,9.21
ANW-3,52,Sapiens,5,46.32,24.9,46.32,28.26,8.59,23.47,9.64
ANW-3,41,Sapiens,10,32.42,29.55,32.42,18.96,6.62,26.15,7.14
ANW-3,60,Sapiens,11,50.25,36.95,50.25,20.88,8.6,31.11,9.89
ANW-3,46,Sapiens,10,31.99,23.85,31.99,23.31,6.06,18.48,5.44
ANW-3,100,Sapiens,4,38.29,33.16,38.29,21.7,9.31,34.68,10.83
ANW-3,6,Sapiens,10,64.07,37.18,64.07,27.01,7.61,34.08,9.78
ANW-3,27,Sapiens,7,40.11,25.2,40.11,17.82,8.59,24.23,8.44
ANW-3,40,Sapiens,6,48.07,22.98,48.07,11.42,6.12,22.51,6.87
ANW-3,13,Sapiens,7,40.36,20.89,40.36,12.76,6.69,18.87,7.55
ANW-3,40,Sapiens,9,58.58,26.41,58.58,22.27,6.06,21.03,6.7
ANW-3,39,Sapiens,6,51.17,36.78,51.17,34.77,9.03,33.35,11.22
ANW-3,47,Sapiens,6,35.25,27.79,35.25,9.08,5.7,29.67,7.07
ANW-3,100,Sapiens,7,46.9,28.45,46.9,24.67,8.61,25.71,7.73
ANW-3,12,Sapiens,5,35.62,28.09,35.62,12.93,8.3,24.15,8.26
ANW-3,57,Sapiens,6,37.03,28.76,37.03,26.24,6.28,19.16,8.24
ANW-3,65,Sapiens,11,34.46,28.27,34.46,12.77,5.37,27.04,6.59
ANW-3,19,Sapiens,9,26.26,20.03,26.26,7.51,6.07,19.38,6.7
ANW-3,61,Sapiens,10,50.41,17.75,50.41,7.26,6.74,17.23,5.17
ANW-3,59,Sapiens,5,41.44,23.55,41.44,24.75,8.04,19.78,6.17
ANW-3,57,Sapiens,9,43.09,30.27,43.09,24.16,9.6,33.86,8.95
ANW-3,41,Sapiens,7,48.96,37.01,48.96,24.19,7.66,36.1,9.25
ANW-3,56,Sapiens,8,41.86,34.18,41.86,23.19,8.68,35.64,8.51
ANW-3,59,Sapiens,6,41.99,34.84,41.99,27.95,10.5,35.65,8.13
ANW-3,35,Sapiens,10,39.78,15.58,39.78,20.27,5.44,12.37,3.33
ANW-3,61,Sapiens,9,33.35,22.93,33.35,25.56,8.21,15.95,5.42
ANW-3,41,Sapiens,6,48.25,22.06,48.25,21.96,8.4,20.19,10.36
ANW-3,9,Sapiens,8,48.37,25.5,48.37,22.79,6.51,22.37,9.98
