Site,ID number,Number of scars,Length,Proximal width,Medial width,Distal width,Thickness at medial,Platform width,Platform thickness,Weight,,,
JQ-1,5.00,4.00,47.92,27.95,39.34,27.78,8.44,32.51,10.36,17.50,,,
JQ-1,115.00,8.00,41.26,41.54,35.68,24.63,9.15,40.12,9.41,21.00,,,
JQ-1,3.00,11.00,65.29,26.65,44.33,25.90,10.80,18.09,5.32,44.10,,,
JQ-1,7.00,5.00,54.51,20.62,32.06,29.51,9.06,18.78,8.01,20.70,,,
JQ-1,67.00,11.00,42.60,26.59,35.44,26.54,7.91,28.26,6.58,16.90,,,
JQ-1,807.00,8.00,40.33,19.26,37.13,27.79,6.74,19.19,2.02,11.80,,,
JQ-1,91.00,7.00,39.53,39.36,46.29,49.81,9.82,37.50,7.63,27.00,,,
JQ-1,121.00,5.00,30.71,29.44,23.69,17.01,10.61,27.35,11.17,11.00,,,
JQ-1,18.00,4.00,33.25,27.57,33.63,33.20,9.59,25.35,11.30,15.70,,,
JQ-1,83.00,5.00,33.46,34.33,39.40,26.50,12.26,30.99,9.55,18.60,,,
ANW-3,1.00,7.00,48.22,24.56,48.22,24.13,9.26,20.48,6.98,19.80,,,
ANW-3,2.00,8.00,45.69,25.77,45.69,6.32,6.17,25.69,7.54,10.00,,,
ANW-3,3.00,8.00,44.15,41.89,44.15,20.59,12.74,39.68,13.11,27.90,,,
ANW-3,4.00,7.00,51.55,48.08,51.55,32.03,11.17,47.61,11.54,36.10,,,
ANW-3,5.00,8.00,59.69,34.62,59.69,27.49,13.70,31.32,13.29,48.00,,,
ANW-3,6.00,8.00,46.10,42.00,46.10,30.58,7.85,38.65,7.55,22.20,,,
ANW-3,7.00,7.00,45.60,26.58,45.60,12.50,7.88,23.28,8.50,16.10,,,
ANW-3,8.00,7.00,41.73,38.72,41.73,17.40,10.15,38.18,12.64,18.20,,,
ANW-3,9.00,8.00,31.54,26.83,31.54,32.34,9.71,25.40,9.73,14.90,,,
ANW-3,10.00,5.00,33.70,26.94,33.70,17.44,7.86,22.08,7.31,8.50,,,
ANW-3,11.00,12.00,75.06,60.34,75.06,40.33,17.76,59.99,20.18,116.00,,,
ANW-3,35.00,9.00,46.10,29.00,46.10,32.34,6.76,28.81,9.21,10.90,,,
ANW-3,52.00,5.00,46.32,24.90,46.32,28.26,8.59,23.47,9.64,16.30,,,
ANW-3,41.00,10.00,32.42,29.55,32.42,18.96,6.62,26.15,7.14,7.00,,,
ANW-3,60.00,11.00,50.25,36.95,50.25,20.88,8.60,31.11,9.89,16.80,,,
ANW-3,46.00,10.00,31.99,23.85,31.99,23.31,6.06,18.48,5.44,5.80,,,
ANW-3,100.00,4.00,38.29,33.16,38.29,21.70,9.31,34.68,10.83,13.30,,,
ANW-3,6.00,10.00,64.07,37.18,64.07,27.01,7.61,34.08,9.78,35.80,,,
ANW-3,27.00,7.00,40.11,25.20,40.11,17.82,8.59,24.23,8.44,14.40,,,
ANW-3,40.00,6.00,48.07,22.98,48.07,11.42,6.12,22.51,6.87,12.00,,,
ANW-3,13.00,7.00,40.36,20.89,40.36,12.76,6.69,18.87,7.55,8.90,,,
ANW-3,40.00,9.00,58.58,26.41,58.58,22.27,6.06,21.03,6.70,13.60,,,
ANW-3,39.00,6.00,51.17,36.78,51.17,34.77,9.03,33.35,11.22,24.90,,,
ANW-3,47.00,6.00,35.25,27.79,35.25,9.08,5.70,29.67,7.07,8.30,,,
ANW-3,100.00,7.00,46.90,28.45,46.90,24.67,8.61,25.71,7.73,17.50,,,
ANW-3,12.00,5.00,35.62,28.09,35.62,12.93,8.30,24.15,8.26,9.50,,,
ANW-3,57.00,6.00,37.03,28.76,37.03,26.24,6.28,19.16,8.24,8.60,,,
ANW-3,65.00,11.00,34.46,28.27,34.46,12.77,5.37,27.04,6.59,5.90,,,
ANW-3,19.00,9.00,26.26,20.03,26.26,7.51,6.07,19.38,6.70,3.70,,,
ANW-3,61.00,10.00,50.41,17.75,50.41,7.26,6.74,17.23,5.17,10.80,,,
ANW-3,59.00,5.00,41.44,23.55,41.44,24.75,8.04,19.78,6.17,14.10,,,
ANW-3,57.00,9.00,43.09,30.27,43.09,24.16,9.60,33.86,8.95,20.40,,,
ANW-3,41.00,7.00,48.96,37.01,48.96,24.19,7.66,36.10,9.25,18.90,,,
ANW-3,56.00,8.00,41.86,34.18,41.86,23.19,8.68,35.64,8.51,16.50,,,
ANW-3,59.00,6.00,41.99,34.84,41.99,27.95,10.50,35.65,8.13,18.90,,,
